scenario,method,n,relative_effect_error_mean,relative_effect_error_p90,absolute_error_mean,effect_cosine_mean,clipped_mean
matched_morphology,normalized_copy,720,0.0,0.0,0.0,0.9999909623156589,0.0
matched_morphology,ejar_absolute,720,0.0071998067876426165,0.013569417517944004,0.00022429537189821422,0.999881980862615,0.0
random_map,normalized_copy,720,1.243032527826303,2.1502872146812,0.0466526104477873,0.2813151013914492,0.0
random_map,ejar_absolute,720,1.337950646645967,2.0857107674718502,0.05090262689303867,0.034414931575679465,0.14027777777777778
zero_effect,normalized_copy,720,0.0,0.0,0.0,0.0,0.0
zero_effect,ejar_absolute,720,0.0,0.0,0.0,0.0,0.0
same_geometry_diff_limits,normalized_copy,720,0.9316394779905958,1.5029862650909769,0.04604670813530834,0.29286170721776134,0.0
same_geometry_diff_limits,ejar_absolute,720,0.46461785603332273,0.8959648200379037,0.029594504912007654,0.9594992014454843,0.6819444444444445
same_limits_diff_geometry,normalized_copy,720,1.0152669531176475,1.8017744714720185,0.038634822044019856,0.3322475694975618,0.0
same_limits_diff_geometry,ejar_absolute,720,0.4460850094534692,0.8775432971442974,0.021118224757823625,0.9596856319863393,0.6583333333333333
