method,n,relative_effect_error_mean,relative_effect_error_median,relative_effect_error_p90,relative_effect_error_ci95,effect_cosine_mean,effect_cosine_median,effect_cosine_p90,effect_cosine_ci95,absolute_error_mean,absolute_error_median,absolute_error_p90,absolute_error_ci95,residual_mean,residual_median,residual_p90,residual_ci95,clipped_mean,condition_mean
ejar_absolute,3000,0.23092335524144006,0.02301990283399212,0.7598802618138288,0.01086440004038188,0.9769709337780949,0.9999846890560047,0.9999987103571518,0.0033179819658936053,0.014593612051710747,0.0005670013308270122,0.04970547629228702,0.0008279955872968421,0.014593612051710747,0.0005670013308270122,0.04970547629228702,0.0008279955872968421,0.427,27.79691703869809
ejar_capability,3000,0.014207536620023622,0.004484522849504615,0.02477340824904922,0.0015519845016477112,0.9990366057467145,0.9999936854618527,0.9999994906866702,0.00046066203871039744,0.00034622983163957316,0.00017608278952198432,0.0007520408496586674,2.7098373242198382e-05,0.00034622983163957316,0.00017608278952198432,0.0007520408496586674,2.7098373242198382e-05,0.007,27.79691703869809
link_scaled,3000,1.1984119690736952,1.0506247201221894,2.018465215879356,0.03458041410925855,0.2578110583690959,0.4403520314697036,0.9804022963330172,0.02347164102909465,0.0506716500717845,0.03934165942384982,0.10745352389983057,0.0014786783536169278,0.0,0.0,0.0,0.0,0.09033333333333333,27.79691703869809
normalized_copy,3000,1.214908869893946,1.071862951055359,2.0407783234512653,0.03813389879222475,0.257811468630191,0.4403514342489312,0.9804023535018868,0.02347165309177946,0.05073404710215565,0.03899587528724689,0.10903894658661148,0.0014706908487807627,0.0,0.0,0.0,0.0,0.0,27.79691703869809
raw_joint,3000,1.3526874961708402,1.1340383099924274,2.243628056523151,0.060244225604997516,0.26068885197878217,0.4422964047782151,0.9765586223126195,0.02348564978912923,0.053975533738430066,0.04182134923230998,0.113354581563746,0.0015361261918844875,0.0,0.0,0.0,0.0,0.193,27.79691703869809
static_home,3000,0.8869980481210711,0.9293131082232253,1.346420834745779,0.012537288999477564,0.3199309581951696,0.5084121817752076,0.984540362408028,0.02262386317796608,0.041732379085910605,0.033529482782244296,0.08733678552128173,0.0011640018517877014,0.030319198300280334,0.023638237001558447,0.0681448271912794,0.0009222942813734043,0.0013333333333333333,27.79691703869809
target_ik,3000,0.2605693374840466,0.0004822913201621003,0.8593707283690378,0.012080575594857725,0.9989206843725097,0.9999990284146927,0.9999997794569688,0.0005955407408896952,0.01637186933797155,6.895228438640328e-06,0.054757808780154675,0.0008862393755492183,0.01637186933797155,6.895228438640328e-06,0.054757808780154675,0.0008862393755492183,0.49033333333333334,27.79691703869809
