budget,method,n,relative_goal_effect_error_mean,relative_goal_effect_error_p90,progress_cosine_mean,success_005_mean,success_010_mean,clipped_mean
100,capability_token_ejar,720,0.9973365762937019,1.8517857754486555,0.7684066356309642,0.3763888888888889,0.7777777777777778,0.9472222222222222
100,effect_label_ejar,720,0.30569193455000826,0.7349106707586353,0.9860342555632887,0.8430555555555556,1.0,0.6888888888888889
100,morph_raw,720,1.025285881507943,1.4188767491543224,0.08352437731569025,0.15,0.8291666666666667,0.6069444444444444
100,pooled_raw,720,0.9779172358052424,1.3059224176199666,0.18480644136634525,0.1111111111111111,0.9041666666666667,0.04861111111111111
100,robot_id_raw,720,0.980709520854069,1.3029336186960863,0.17107062938443948,0.12083333333333333,0.8972222222222223,0.11805555555555555
500,capability_token_ejar,720,0.9283059470880091,1.4769356824675903,0.8688934483035777,0.42916666666666664,0.8361111111111111,0.9888888888888889
500,effect_label_ejar,720,0.29938540907734296,0.6937472819467073,0.9860111542334012,0.8527777777777777,1.0,0.6861111111111111
500,morph_raw,720,0.9576392961083687,1.174279488829816,0.2669045315599656,0.09444444444444444,0.95,0.0
500,pooled_raw,720,0.9570709616920845,1.1338981329192124,0.29319794043733477,0.06527777777777778,0.9791666666666666,0.0
500,robot_id_raw,720,0.9686094870518155,1.1125889934627005,0.3066047773612073,0.06666666666666667,0.9875,0.0
2000,capability_token_ejar,720,0.8786823937752134,1.5403994608601919,0.8659375294146595,0.4305555555555556,0.8472222222222222,0.9708333333333333
2000,effect_label_ejar,720,0.29322647269534186,0.684355242081694,0.9867215483985493,0.8652777777777778,1.0,0.6972222222222222
2000,morph_raw,720,0.9355253275814628,1.094754428086716,0.3217405571721555,0.06944444444444445,0.9972222222222222,0.0
2000,pooled_raw,720,0.9349176277686546,1.089778015221752,0.35205403778128364,0.058333333333333334,0.9958333333333333,0.0
2000,robot_id_raw,720,0.9354769663718387,1.09296644740754,0.36262484329873373,0.06388888888888888,0.9944444444444445,0.0
8000,capability_token_ejar,720,0.8849476332642556,1.578141581349938,0.8777705360087905,0.4125,0.8361111111111111,0.9777777777777777
8000,effect_label_ejar,720,0.29452181791313015,0.6886303676464406,0.983570755544305,0.8625,1.0,0.6819444444444445
8000,morph_raw,720,0.9215680504778724,1.08237085633526,0.3801177120005592,0.05277777777777778,1.0,0.0
8000,pooled_raw,720,0.9202451216115402,1.0698858287948518,0.39632569928410516,0.05277777777777778,1.0,0.0
8000,robot_id_raw,720,0.920398513696355,1.073535400664211,0.39430611239025715,0.05277777777777778,1.0,0.0
