method,n,relative_effect_error_mean,relative_effect_error_median,relative_effect_error_p90,relative_effect_error_ci95,effect_cosine_mean,effect_cosine_median,effect_cosine_p90,effect_cosine_ci95,residual_mean,residual_median,residual_p90,residual_ci95,clipped_mean
ejar_correct_rate,4200,0.24963411477932107,0.026639468792039295,0.7784270827668887,0.009591506038402546,0.9821681913957352,0.9999806334581425,0.9999991050404345,0.002554561988194457,0.019342097781095725,0.0005524149283381181,0.0625494302504428,0.001000877745636439,0.4288095238095238
ejar_latency,4200,0.3390672745076959,0.23519731246314923,0.7982812997172011,0.008526737006929484,0.9569578961382906,0.9926995892875015,0.9997013221555149,0.004618848219067705,0.019197783320966843,0.0005033933567657781,0.0632358569207821,0.0010019854548585139,0.43714285714285717
ejar_wrong_rate,4200,0.7835957383831134,0.6262746156869737,1.9152754125423281,0.017021425240604498,0.982118685705647,0.9999829964191147,0.9999991619821438,0.0025423028979141503,0.015175958974402699,0.0004785575899995411,0.05225201872242564,0.0008307796723740163,0.3902380952380952
normalized_copy,4200,1.6481900535006457,1.1836545652835397,3.46911690746073,0.048398525559401044,0.24785179802777943,0.4288107493002863,0.979876770479904,0.01992025022381518,0.0,0.0,0.0,0.0,0.0
raw_joint,4200,1.8815059275797328,1.2221321966950307,3.91875582121968,0.08713470345825852,0.24376156530458623,0.4157432420714915,0.9794060508866671,0.020001668209107024,0.0,0.0,0.0,0.0,0.15880952380952382
