mismatch,method,n,assumed_relative_error_mean,true_relative_error_mean,true_relative_error_p90,residual_gap_mean
identity,raw_joint,840,1.3918649820207283,1.3918649820207283,2.3489207144340463,0.0
identity,ejar_correct_map,840,0.3421074674038645,0.3421074674038645,0.8968026181060196,0.0
identity,ejar_assumed_map,840,0.3421074674038645,0.3421074674038645,0.8968026181060196,0.0
rotate_30,raw_joint,840,1.3078627089269803,1.3078627089269803,2.2496207675418707,0.0
rotate_30,ejar_correct_map,840,0.16987328648789338,0.16987328648789338,0.6280315900550646,0.0
rotate_30,ejar_assumed_map,840,0.18115835427711727,0.5602364647591372,0.715666138922498,0.01424947901272134
scale_x2,raw_joint,840,1.232118149666704,1.232118149666704,2.079760534854587,0.0
scale_x2,ejar_correct_map,840,0.18961073613451138,0.18961073613451138,0.6476936401027001,0.0
scale_x2,ejar_assumed_map,840,0.2738248303940658,0.5748002756615097,0.8982389731541984,0.02345094671541014
swap_axes,raw_joint,840,1.3018830344214554,1.3018830344214554,2.264875159759178,0.0
swap_axes,ejar_correct_map,840,0.20315883192876039,0.20315883192876039,0.6748903747262284,0.0
swap_axes,ejar_assumed_map,840,0.21183235097185366,1.2040912292892156,1.9044995048012012,0.04031122841974463
drop_y,raw_joint,840,1.3737684186581458,1.3737684186581458,2.31094794046081,0.0
drop_y,ejar_correct_map,840,0.18156648706103895,0.18156648706103895,0.6174069554524229,0.0
drop_y,ejar_assumed_map,840,0.11604787725462931,0.6463142496600401,0.9439369080167406,0.023896201302655243
