trial,source,target,method,mode,singular,source_dof,target_dof,condition,relative_effect_error,effect_cosine,absolute_error,desired_norm,clipped,residual,token_error
0,teacher_2link,asym_3link,raw_joint,absolute,1,2,3,152.5364061233658,0.5373211809127415,0.8444225990133901,0.009823722947752233,0.01828277529231884,0,0.0,0.0
0,teacher_2link,asym_3link,normalized_copy,absolute,1,2,3,152.5364061233658,0.6479232544071379,0.8450198376864998,0.01184583591491689,0.01828277529231884,0,0.0,0.0
0,teacher_2link,asym_3link,link_scaled,absolute,1,2,3,152.5364061233658,0.6381882575854401,0.8450200239038275,0.011667853145819352,0.01828277529231884,0,0.0,0.0
0,teacher_2link,asym_3link,static_home,absolute,1,2,3,152.5364061233658,0.5395409283113433,0.8424316988858519,0.009864306092866326,0.01828277529231884,0,0.008967493408278512,0.0
0,teacher_2link,asym_3link,target_ik,absolute,1,2,3,152.5364061233658,0.9058899780063746,0.9987127321306569,0.01656218381334418,0.01828277529231884,1,0.01656218381334418,0.0
0,teacher_2link,asym_3link,ejar_absolute,absolute,1,2,3,152.5364061233658,0.5066279046297646,0.8623917195681932,0.00926256464379223,0.01828277529231884,0,0.00926256464379223,0.0
0,teacher_2link,asym_3link,ejar_capability,token,1,2,3,152.5364061233658,0.12699913439955254,0.9918698644841265,0.000685064422370512,0.005394243815994003,0,0.000685064422370512,0.9226025845867826
1,short_2link,needle_5link,raw_joint,absolute,0,2,5,2.2404478866355784,9.161281756988387,-0.9140840701352241,0.03854358953200604,0.004207225734687459,1,0.0,0.0
1,short_2link,needle_5link,normalized_copy,absolute,0,2,5,2.2404478866355784,8.105068297890908,-0.7821051072491765,0.034099860029354404,0.004207225734687459,0,0.0,0.0
1,short_2link,needle_5link,link_scaled,absolute,0,2,5,2.2404478866355784,5.036256811525546,-0.7821006792302083,0.021188674300202097,0.004207225734687459,0,0.0,0.0
1,short_2link,needle_5link,static_home,absolute,0,2,5,2.2404478866355784,1.237583965801427,-0.3746038969736919,0.005206796347340293,0.004207225734687459,0,0.0029018096709126054,0.0
1,short_2link,needle_5link,target_ik,absolute,0,2,5,2.2404478866355784,2.3326419956277557e-05,0.9999435071023463,9.8139537664598e-08,0.004207225734687459,0,9.8139537664598e-08,0.0
1,short_2link,needle_5link,ejar_absolute,absolute,0,2,5,2.2404478866355784,0.011651079964118084,0.9999332181869495,4.9018735113019004e-05,0.004207225734687459,0,4.9018735113019004e-05,0.0
1,short_2link,needle_5link,ejar_capability,token,0,2,5,2.2404478866355784,0.006798451862556834,0.9999889210982055,0.0002124337542667331,0.0312473709843092,0,0.0002124337542667331,0.010361559555355683
2,long_2link,wide_2link,raw_joint,absolute,0,2,2,6.96471948123441,0.6297595220783094,0.7912358281583864,0.05902284843408964,0.09372283504272404,0,0.0,0.0
2,long_2link,wide_2link,normalized_copy,absolute,0,2,2,6.96471948123441,0.6400027662682972,0.7938881501828288,0.05998287432985345,0.09372283504272404,0,0.0,0.0
2,long_2link,wide_2link,link_scaled,absolute,0,2,2,6.96471948123441,0.6108018860574578,0.7938881961554619,0.05724608502154972,0.09372283504272404,1,0.0,0.0
2,long_2link,wide_2link,static_home,absolute,0,2,2,6.96471948123441,0.5765930309319688,0.8293866426782812,0.054039934101414215,0.09372283504272404,0,0.0013669953301160983,0.0
