trial,mismatch,method,target,assumed_relative_error,true_relative_error,residual_gap,clipped
0,identity,raw_joint,long_2link,0.6742435729379253,0.6742435729379253,0.0,1
0,identity,ejar_correct_map,long_2link,0.5048817095181073,0.5048817095181073,0.0,0
0,identity,ejar_assumed_map,long_2link,0.5048817095181073,0.5048817095181073,0.0,0
1,rotate_30,raw_joint,needle_5link,0.9566351153337016,0.9566351153337016,0.0,1
1,rotate_30,ejar_correct_map,needle_5link,0.7170326125156061,0.7170326125156061,0.0,1
1,rotate_30,ejar_assumed_map,needle_5link,0.7625496793774488,0.8025653735446144,0.0029393325898674078,1
2,scale_x2,raw_joint,heavy_3link,1.3714225620198668,1.3714225620198668,0.0,0
2,scale_x2,ejar_correct_map,heavy_3link,0.49506519951329314,0.49506519951329314,0.0,1
2,scale_x2,ejar_assumed_map,heavy_3link,0.47763036462547104,0.5475625643953013,0.0017963192760228203,1
3,swap_axes,raw_joint,short_2link,1.366443644632207,1.366443644632207,0.0,0
3,swap_axes,ejar_correct_map,short_2link,0.6868914197744067,0.6868914197744067,0.0,1
3,swap_axes,ejar_assumed_map,short_2link,0.33754404290153944,0.6695708177370794,0.006089769583527597,1
4,drop_y,raw_joint,soft_5link,0.26459391482967215,0.26459391482967215,0.0,0
4,drop_y,ejar_correct_map,soft_5link,0.018357904437542438,0.018357904437542438,0.0,0
4,drop_y,ejar_assumed_map,soft_5link,0.11430442670800615,0.9232820975491519,0.03733135702203306,0
5,identity,raw_joint,asym_3link,1.0188771633706748,1.0188771633706748,0.0,0
5,identity,ejar_correct_map,asym_3link,0.7246539019254712,0.7246539019254712,0.0,1
5,identity,ejar_assumed_map,asym_3link,0.7246539019254712,0.7246539019254712,0.0,1
6,rotate_30,raw_joint,large_6link,0.5207510651090308,0.5207510651090308,0.0,0
6,rotate_30,ejar_correct_map,large_6link,0.0028406699544316787,0.0028406699544316787,0.0,0
6,rotate_30,ejar_assumed_map,large_6link,0.004849020867566289,0.5145855660229623,0.013289743607840774,0
7,scale_x2,raw_joint,long_4link,2.7788892191633408,2.7788892191633408,0.0,0
7,scale_x2,ejar_correct_map,long_4link,0.005770378610283637,0.005770378610283637,0.0,0
7,scale_x2,ejar_assumed_map,long_4link,0.0035945127821304284,0.9828092635622437,0.008764333184722098,0
8,swap_axes,raw_joint,wide_2link,0.8033371053168573,0.8033371053168573,0.0,0
8,swap_axes,ejar_correct_map,wide_2link,0.9458838047522313,0.9458838047522313,0.0,1
8,swap_axes,ejar_assumed_map,wide_2link,0.9472920066980459,1.0564397257768554,0.011523399416331834,1
9,drop_y,raw_joint,snake_6link,1.5033704528758915,1.5033704528758915,0.0,0
9,drop_y,ejar_correct_map,snake_6link,0.0061228539597132595,0.0061228539597132595,0.0,0
9,drop_y,ejar_assumed_map,snake_6link,0.005170457992332077,0.2680959766413217,0.010486674376799215,0
10,identity,raw_joint,redundant_4link,0.47935753892047706,0.47935753892047706,0.0,1
10,identity,ejar_correct_map,redundant_4link,0.326060972675501,0.326060972675501,0.0,1
10,identity,ejar_assumed_map,redundant_4link,0.326060972675501,0.326060972675501,0.0,1
11,rotate_30,raw_joint,long_2link,1.3331633210938798,1.3331633210938798,0.0,0
11,rotate_30,ejar_correct_map,long_2link,0.33282320963856515,0.33282320963856515,0.0,1
11,rotate_30,ejar_assumed_map,long_2link,0.021299915671032975,0.532992584673149,0.013896752816038364,0
12,scale_x2,raw_joint,needle_5link,0.5783311589701652,0.5783311589701652,0.0,1
12,scale_x2,ejar_correct_map,needle_5link,0.360403529427612,0.360403529427612,0.0,1
12,scale_x2,ejar_assumed_map,needle_5link,0.5935521861673898,0.2472367423417549,0.06805942019873937,1
13,swap_axes,raw_joint,heavy_3link,2.4219281551263303,2.4219281551263303,0.0,0
13,swap_axes,ejar_correct_map,heavy_3link,0.8252074159636745,0.8252074159636745,0.0,1
13,swap_axes,ejar_assumed_map,heavy_3link,0.8254369790895553,0.8254172560927171,8.646932078276715e-07,1
14,drop_y,raw_joint,short_2link,1.149549179932055,1.149549179932055,0.0,0
14,drop_y,ejar_correct_map,short_2link,0.007689692153865549,0.007689692153865549,0.0,0
14,drop_y,ejar_assumed_map,short_2link,0.00974937148824312,0.7483531046962867,0.017025128148200105,0
15,identity,raw_joint,soft_5link,6.032140207790705,6.032140207790705,0.0,1
15,identity,ejar_correct_map,soft_5link,0.38245868220828305,0.38245868220828305,0.0,0
15,identity,ejar_assumed_map,soft_5link,0.38245868220828305,0.38245868220828305,0.0,0
16,rotate_30,raw_joint,asym_3link,0.4026797194169089,0.4026797194169089,0.0,0
16,rotate_30,ejar_correct_map,asym_3link,0.006789957415667282,0.006789957415667282,0.0,0
16,rotate_30,ejar_assumed_map,asym_3link,0.005707303027701468,0.5188455832432932,0.012564208865936873,0
17,scale_x2,raw_joint,large_6link,1.2087953929125175,1.2087953929125175,0.0,1
17,scale_x2,ejar_correct_map,large_6link,0.0023831527635549046,0.0023831527635549046,0.0,0
17,scale_x2,ejar_assumed_map,large_6link,0.0033289545094218526,0.9134147536699615,0.0323356845541166,0
18,swap_axes,raw_joint,long_4link,1.495452973853422,1.495452973853422,0.0,1
18,swap_axes,ejar_correct_map,long_4link,0.4039435571609075,0.4039435571609075,0.0,1
18,swap_axes,ejar_assumed_map,long_4link,0.37046411258139494,1.6146442690482337,0.07726444864473954,1
19,drop_y,raw_joint,wide_2link,0.8020012206201914,0.8020012206201914,0.0,0
19,drop_y,ejar_correct_map,wide_2link,0.6069693191522568,0.6069693191522568,0.0,1
19,drop_y,ejar_assumed_map,wide_2link,0.019151119747848784,0.41637466529146855,0.01717371942810473,0
20,identity,raw_joint,snake_6link,0.9246122794932462,0.9246122794932462,0.0,0
20,identity,ejar_correct_map,snake_6link,0.43555722886892584,0.43555722886892584,0.0,1
20,identity,ejar_assumed_map,snake_6link,0.43555722886892584,0.43555722886892584,0.0,1
21,rotate_30,raw_joint,redundant_4link,0.9463841954322344,0.9463841954322344,0.0,1
21,rotate_30,ejar_correct_map,redundant_4link,0.005350978221448454,0.005350978221448454,0.0,0
21,rotate_30,ejar_assumed_map,redundant_4link,0.004013321969149944,0.5136605039267289,0.021369901569824396,0
22,scale_x2,raw_joint,long_2link,1.6880871450937105,1.6880871450937105,0.0,0
22,scale_x2,ejar_correct_map,long_2link,0.12309888188022355,0.12309888188022355,0.0,0
22,scale_x2,ejar_assumed_map,long_2link,0.18002396286974265,0.7261301210503457,0.011108934611811191,0
23,swap_axes,raw_joint,needle_5link,1.312650945367827,1.312650945367827,0.0,0
23,swap_axes,ejar_correct_map,needle_5link,0.1435241363870905,0.1435241363870905,0.0,1
23,swap_axes,ejar_assumed_map,needle_5link,0.11753225448822818,0.6006141694779656,0.011570922707991706,1
24,drop_y,raw_joint,heavy_3link,2.1570303635756694,2.1570303635756694,0.0,0
24,drop_y,ejar_correct_map,heavy_3link,0.38468588444329455,0.38468588444329455,0.0,1
24,drop_y,ejar_assumed_map,heavy_3link,0.006208527200861006,0.6799286081803602,0.027747581521647087,0
25,identity,raw_joint,short_2link,1.1261448496113629,1.1261448496113629,0.0,0
25,identity,ejar_correct_map,short_2link,0.7187948696882591,0.7187948696882591,0.0,1
25,identity,ejar_assumed_map,short_2link,0.7187948696882591,0.7187948696882591,0.0,1
26,rotate_30,raw_joint,soft_5link,1.319538842541347,1.319538842541347,0.0,0
26,rotate_30,ejar_correct_map,soft_5link,0.002234621773417851,0.002234621773417851,0.0,0
26,rotate_30,ejar_assumed_map,soft_5link,0.0019933656591378346,0.5166897487991281,0.02358258131941577,0
27,scale_x2,raw_joint,asym_3link,0.3157049697753452,0.3157049697753452,0.0,0
27,scale_x2,ejar_correct_map,asym_3link,0.002011249863998041,0.002011249863998041,0.0,0
27,scale_x2,ejar_assumed_map,asym_3link,0.0029397009283403173,0.6026242704467069,0.011212086235449841,0
28,swap_axes,raw_joint,large_6link,0.2059565166157676,0.2059565166157676,0.0,0
28,swap_axes,ejar_correct_map,large_6link,0.0022636828136106597,0.0022636828136106597,0.0,0
28,swap_axes,ejar_assumed_map,large_6link,0.0077836648698869195,1.5629427595439886,0.02102808341691711,0
29,drop_y,raw_joint,long_4link,1.367397528832595,1.367397528832595,0.0,0
29,drop_y,ejar_correct_map,long_4link,0.010161152101293498,0.010161152101293498,0.0,0
29,drop_y,ejar_assumed_map,long_4link,0.010712183611863569,0.27468705973983615,0.008414353987593793,0
30,identity,raw_joint,wide_2link,0.9711106826987607,0.9711106826987607,0.0,0
30,identity,ejar_correct_map,wide_2link,0.8567294267185697,0.8567294267185697,0.0,0
30,identity,ejar_assumed_map,wide_2link,0.8567294267185697,0.8567294267185697,0.0,0
31,rotate_30,raw_joint,snake_6link,0.8306047809348557,0.8306047809348557,0.0,0
31,rotate_30,ejar_correct_map,snake_6link,0.025594334167745265,0.025594334167745265,0.0,0
31,rotate_30,ejar_assumed_map,snake_6link,0.01940611541191283,0.5264243942892564,0.015682643234594753,0
32,scale_x2,raw_joint,redundant_4link,0.6410308405681328,0.6410308405681328,0.0,0
32,scale_x2,ejar_correct_map,redundant_4link,0.007352995473319636,0.007352995473319636,0.0,0
32,scale_x2,ejar_assumed_map,redundant_4link,0.007531746481663813,0.3039162138433177,0.01682484737799489,0
33,swap_axes,raw_joint,long_2link,1.9126328839468274,1.9126328839468274,0.0,0
33,swap_axes,ejar_correct_map,long_2link,0.33189892519522857,0.33189892519522857,0.0,1
33,swap_axes,ejar_assumed_map,long_2link,0.28394608011969524,1.6351764875221224,0.0865263667887828,1
34,drop_y,raw_joint,needle_5link,0.4338595880632454,0.4338595880632454,0.0,0
34,drop_y,ejar_correct_map,needle_5link,0.005568298958229508,0.005568298958229508,0.0,0
34,drop_y,ejar_assumed_map,needle_5link,0.007638742112981791,0.17123265392411052,0.012352103374332865,0
35,identity,raw_joint,heavy_3link,0.21356964474743284,0.21356964474743284,0.0,0
35,identity,ejar_correct_map,heavy_3link,0.008279428455538624,0.008279428455538624,0.0,0
35,identity,ejar_assumed_map,heavy_3link,0.008279428455538624,0.008279428455538624,0.0,0
36,rotate_30,raw_joint,short_2link,0.5953300829424573,0.5953300829424573,0.0,0
36,rotate_30,ejar_correct_map,short_2link,0.8325874672445464,0.8325874672445464,0.0,1
36,rotate_30,ejar_assumed_map,short_2link,0.4233111753661986,0.5909938789159053,0.012966260208212448,1
37,scale_x2,raw_joint,soft_5link,1.229358608069423,1.229358608069423,0.0,0
37,scale_x2,ejar_correct_map,soft_5link,0.005988142916593184,0.005988142916593184,0.0,0
37,scale_x2,ejar_assumed_map,soft_5link,0.004209912209302866,0.42490405181213353,0.007096918501193428,0
38,swap_axes,raw_joint,asym_3link,1.2619795672090313,1.2619795672090313,0.0,0
38,swap_axes,ejar_correct_map,asym_3link,0.28787661155682176,0.28787661155682176,0.0,1
38,swap_axes,ejar_assumed_map,asym_3link,0.19159493241026354,1.7085587327837664,0.06827587636196064,1
39,drop_y,raw_joint,large_6link,3.531309252665501,3.531309252665501,0.0,0
39,drop_y,ejar_correct_map,large_6link,0.04127595660866092,0.04127595660866092,0.0,0
