trial,scenario,method,relative_effect_error,absolute_error,effect_cosine,clipped
0,matched_morphology,normalized_copy,0.0,0.0,0.9999996898537885,0
0,matched_morphology,ejar_absolute,0.0008434706993393403,4.789461654288313e-05,0.9999995393888556,0
1,random_map,normalized_copy,2.200360143088586,0.0418955681787543,-0.4229440033645068,0
1,random_map,ejar_absolute,0.8006441933278219,0.015244524172031891,0.6000598428005961,0
2,zero_effect,normalized_copy,0.0,0.0,0.0,0
2,zero_effect,ejar_absolute,0.0,0.0,0.0,0
3,same_geometry_diff_limits,normalized_copy,0.5566560498205138,0.002467865727390346,0.8773751672527187,0
3,same_geometry_diff_limits,ejar_absolute,0.0036551211634007173,1.6204527466330866e-05,0.9999455622647568,0
4,same_limits_diff_geometry,normalized_copy,0.6862057555722194,0.025696476418857132,0.7287115185923961,0
4,same_limits_diff_geometry,ejar_absolute,0.4916340501056223,0.01841031304774121,0.999756534669345,1
5,matched_morphology,normalized_copy,0.0,0.0,0.9999998151362995,0
5,matched_morphology,ejar_absolute,0.002506974423053237,0.00018438434640241785,0.9999970016326104,0
6,random_map,normalized_copy,0.32893228202383196,0.011493754325980939,0.9523427713468966,0
6,random_map,ejar_absolute,0.6840164133149828,0.02390132267106405,0.9333262597058751,0
7,zero_effect,normalized_copy,0.0,0.0,0.0,0
7,zero_effect,ejar_absolute,0.0,0.0,0.0,0
8,same_geometry_diff_limits,normalized_copy,0.45243176825899817,0.03246205549993905,0.9996570643311793,0
8,same_geometry_diff_limits,ejar_absolute,0.27736331667711456,0.019900864641462082,0.9999692067898893,1
9,same_limits_diff_geometry,normalized_copy,1.350030070008508,0.13210218947663682,-0.027810174205671057,0
9,same_limits_diff_geometry,ejar_absolute,0.9510277037873857,0.09305929157745377,0.9996571644530114,1
10,matched_morphology,normalized_copy,0.0,0.0,0.9999998941664152,0
10,matched_morphology,ejar_absolute,0.0005413533406769946,5.262220583839782e-05,0.999999892223226,0
11,random_map,normalized_copy,0.7382721872134934,0.0566522912348869,0.6748550708078561,0
11,random_map,ejar_absolute,0.5045558805647092,0.03871776180261377,0.9011121160600751,1
12,zero_effect,normalized_copy,0.0,0.0,0.0,0
12,zero_effect,ejar_absolute,0.0,0.0,0.0,0
13,same_geometry_diff_limits,normalized_copy,1.0084246489117958,0.10208209852894762,0.2671797590584297,0
13,same_geometry_diff_limits,ejar_absolute,0.851631485823743,0.0862100399271552,0.999779032276228,1
14,same_limits_diff_geometry,normalized_copy,1.6085922096534608,0.07221993203628996,-0.1204919096803121,0
14,same_limits_diff_geometry,ejar_absolute,0.7327296221090822,0.032896891575208115,0.9998866893033463,1
15,matched_morphology,normalized_copy,0.0,0.0,0.9999999273664469,0
15,matched_morphology,ejar_absolute,0.0013420355377862531,0.00015746910527646946,0.9999991659173763,0
16,random_map,normalized_copy,0.9303423024569508,0.029901001857039006,0.7345253004783142,0
16,random_map,ejar_absolute,0.853270304384409,0.027423924386298697,0.8424311537734138,0
17,zero_effect,normalized_copy,0.0,0.0,0.0,0
17,zero_effect,ejar_absolute,0.0,0.0,0.0,0
18,same_geometry_diff_limits,normalized_copy,1.4627085417479186,0.07161248960667434,-0.3755742452882834,0
18,same_geometry_diff_limits,ejar_absolute,0.9241738801364118,0.04524646605737431,0.38206873788217904,0
19,same_limits_diff_geometry,normalized_copy,1.1665546609465087,0.09178172871691859,0.2403016412232086,0
19,same_limits_diff_geometry,ejar_absolute,0.9488390676675263,0.07465238691345652,0.9884280957553782,1
20,matched_morphology,normalized_copy,0.0,0.0,0.9999967344809455,0
20,matched_morphology,ejar_absolute,0.018804687178290255,0.000329070777864776,0.9999952274661006,0
21,random_map,normalized_copy,1.9829719829714023,0.03539659519960667,-0.8213739416255434,0
21,random_map,ejar_absolute,1.2148315714852145,0.021685077621282918,-0.9947336582981919,0
22,zero_effect,normalized_copy,0.0,0.0,0.0,0
22,zero_effect,ejar_absolute,0.0,0.0,0.0,0
23,same_geometry_diff_limits,normalized_copy,0.8116922820642556,0.04422288760777064,0.5842196680590156,0
23,same_geometry_diff_limits,ejar_absolute,0.7369499184471701,0.04015074941104963,0.9991574693887861,1
24,same_limits_diff_geometry,normalized_copy,1.1217484410460554,0.02363060470871912,0.13420867541077056,0
24,same_limits_diff_geometry,ejar_absolute,0.13006458961626913,0.0027399234902949522,0.999891125311859,1
25,matched_morphology,normalized_copy,0.0,0.0,0.9999999033400798,0
25,matched_morphology,ejar_absolute,0.00043629896915395913,4.437730802576012e-05,0.9999999032136114,0
26,random_map,normalized_copy,0.4945518340441228,0.019410429580467767,0.9030187402471431,0
26,random_map,ejar_absolute,1.06130325237737,0.0416545862853972,-0.607471716022428,0
27,zero_effect,normalized_copy,0.0,0.0,0.0,0
27,zero_effect,ejar_absolute,0.0,0.0,0.0,0
28,same_geometry_diff_limits,normalized_copy,1.3045369095659973,0.080321819828964,-0.5390136563554943,0
28,same_geometry_diff_limits,ejar_absolute,0.5777527216395095,0.03557289155479779,0.9999917264644642,1
29,same_limits_diff_geometry,normalized_copy,1.819808584736358,0.09558236098995099,-0.35131418746051746,0
29,same_limits_diff_geometry,ejar_absolute,0.9406788807892995,0.049407563582986286,0.8821191264844834,1
30,matched_morphology,normalized_copy,0.0,0.0,0.9999998492996497,0
30,matched_morphology,ejar_absolute,0.001128418954829416,9.192067706918342e-05,0.9999993461600624,0
31,random_map,normalized_copy,1.6960302963925744,0.062171804978641686,-0.2797500643499517,0
31,random_map,ejar_absolute,1.3863852390948002,0.05082106899481847,-0.679811257837915,0
32,zero_effect,normalized_copy,0.0,0.0,0.0,0
32,zero_effect,ejar_absolute,0.0,0.0,0.0,0
33,same_geometry_diff_limits,normalized_copy,1.3488428089554056,0.05977206848880855,-0.40186802536006166,0
33,same_geometry_diff_limits,ejar_absolute,0.6986334302105075,0.030958956048743182,0.999790681069671,1
34,same_limits_diff_geometry,normalized_copy,0.4930069689905629,0.01262694291169742,0.9225317547826551,0
34,same_limits_diff_geometry,ejar_absolute,0.37936438550570495,0.009716317901792991,0.9252486854326138,0
35,matched_morphology,normalized_copy,0.0,0.0,0.9999998623701221,0
35,matched_morphology,ejar_absolute,0.0015262862934154007,0.00013010069515295516,0.9999988155769689,0
36,random_map,normalized_copy,4.39529319699609,0.006220737667327704,0.9779371170329647,0
36,random_map,ejar_absolute,1.145945265614398,0.0016218769849927891,-0.28819482048869444,0
37,zero_effect,normalized_copy,0.0,0.0,0.0,0
37,zero_effect,ejar_absolute,0.0,0.0,0.0,0
38,same_geometry_diff_limits,normalized_copy,1.2616838712431722,0.023378568293036625,-0.3445663190127287,0
38,same_geometry_diff_limits,ejar_absolute,0.49733130099812073,0.009215377995751834,0.9995406713168038,1
39,same_limits_diff_geometry,normalized_copy,0.9821695424938518,0.06888951009450182,0.47253170898412,0
39,same_limits_diff_geometry,ejar_absolute,0.9311097367018142,0.0653081681221143,0.9588769773358292,1
40,matched_morphology,normalized_copy,0.0,0.0,0.9999999065511171,0
40,matched_morphology,ejar_absolute,0.004469889384747597,0.00046239135137495006,0.9999901778423118,0
41,random_map,normalized_copy,2.0992081389905315,0.05629234229675277,-0.902205878195243,0
41,random_map,ejar_absolute,0.9460517819438149,0.025369314147783206,0.6766281571166481,0
42,zero_effect,normalized_copy,0.0,0.0,0.0,0
42,zero_effect,ejar_absolute,0.0,0.0,0.0,0
43,same_geometry_diff_limits,normalized_copy,1.3657872437661291,0.08577522256507465,-0.49401614928785303,0
43,same_geometry_diff_limits,ejar_absolute,0.6644721975213193,0.041730694799529844,0.9999984432317914,1
44,same_limits_diff_geometry,normalized_copy,1.3683122800500511,0.04238748330506793,-0.3920211439930891,0
44,same_limits_diff_geometry,ejar_absolute,0.0523152566894242,0.001620618408425157,0.9998500926972504,1
45,matched_morphology,normalized_copy,0.0,0.0,0.9999785996917098,0
45,matched_morphology,ejar_absolute,0.04319597095177944,0.0002952763352092489,0.9994954330621612,0
46,random_map,normalized_copy,1.835520897245608,0.10673222080230953,-0.2775330413665365,0
46,random_map,ejar_absolute,1.0259577980564099,0.05965759060565773,0.1341168006843508,0
47,zero_effect,normalized_copy,0.0,0.0,0.0,0
47,zero_effect,ejar_absolute,0.0,0.0,0.0,0
48,same_geometry_diff_limits,normalized_copy,0.38146862173689694,0.006685848041770985,0.9969337356926994,0
