variant,n,relative_effect_error_mean,relative_effect_error_median,relative_effect_error_p90,relative_effect_error_ci95,reported_residual_mean,reported_residual_median,reported_residual_p90,reported_residual_ci95,true_residual_mean,true_residual_median,true_residual_p90,true_residual_ci95,residual_gap_mean,residual_gap_median,residual_gap_p90,residual_gap_ci95,clipped_mean
column_dropout,1400,0.7326807907896172,0.43894577645125027,1.6822273186557668,0.053610178513946394,0.022006305699393106,0.01011982771750224,0.06162890199133275,0.0014301002312407064,0.029672342599050126,0.019634949803031796,0.07508739510052917,0.0016618337661203882,0.019515668926257265,0.006869453130517066,0.06220378183363084,0.001363498042302907,0.5578571428571428
exact,1400,0.23887612002125053,0.026863063539703587,0.7419981066819805,0.015807700160758754,0.015675180377634886,0.0007235960532738478,0.051430307114028864,0.0012593907131081851,0.015675180377634886,0.0007235960532738478,0.051430307114028864,0.0012593907131081851,0.0,0.0,0.0,0.0,0.44785714285714284
finite_diff_noisy,1400,0.27128516527357,0.10477774337202517,0.7613872350388207,0.01570526314086279,0.01563550340806135,0.0006618344012670428,0.050997372480612244,0.0012639850052519276,0.01671976680453953,0.003412150970426762,0.0528764766651943,0.0012569563573905573,0.0023464997559940557,0.001821131019738548,0.005184439664162305,0.00010615919406674681,0.4542857142857143
gaussian_002,1400,0.25249525141396806,0.06421639255996976,0.7569366186765258,0.01574112193935218,0.015753643545499782,0.00070022115692351,0.051718513472669064,0.0012632860511790384,0.016126568795821524,0.001977681877273818,0.05257780419761575,0.0012560359382194337,0.001122761831841847,0.0008254539728510522,0.002433423976851574,5.140795721816797e-05,0.45357142857142857
gaussian_010,1400,0.3278702815437858,0.20748340112166033,0.7972267609007047,0.015684835974110144,0.014850139458143714,0.00048343263008211474,0.05106609138422879,0.0012365259198059415,0.018410779432963473,0.007089814154709512,0.05339722465796607,0.0012370781134206387,0.005899845308591387,0.004531288451889694,0.01293723526219185,0.00026166836996511714,0.43857142857142856
gaussian_020,1400,0.4272834852700257,0.3421342242537524,0.8837550627796211,0.017099834850182023,0.013018112223965709,0.00034134001765569714,0.04667926218734241,0.0011832319044637238,0.021788375098647356,0.012630488807699583,0.0567747895935131,0.0012591860474312436,0.011774103444734969,0.009090512174969114,0.02484006719436667,0.0005013349970449928,0.3871428571428571
scale_bias_110,1400,0.2946331997381707,0.1303500944675641,0.7502781193876017,0.013693359166945758,0.015881277052616022,0.0007115310661951935,0.05108672568226276,0.0012618961181963982,0.017522381479105845,0.006289007668476565,0.051412614077391026,0.0012020305579686344,0.0036247167838500717,0.003129995968886002,0.0068543765660722565,0.00012615520099525234,0.4592857142857143
stale_q,1400,0.376430482611126,0.3217969396718089,0.779975078748829,0.013673296176894837,0.015412084133875995,0.0005746488284783188,0.05059399550343761,0.0012475760659735188,0.020670862305950114,0.01160840523174788,0.0535301668899,0.0012102257481119178,0.007362114527220367,0.0052948429527387465,0.016423571119761903,0.00037013364943368145,0.4521428571428571
