episode,horizon,source,target,method,singular,final_tracking_error,mean_tracking_error,success_005,success_010,success_020,clipped_steps,residual_sum,fallback_steps
8_0,8,long_2link,needle_5link,raw_joint,1,0.13068576431152468,0.08286202274968557,0,0,1,5,0.0,0
8_0,8,long_2link,needle_5link,normalized_copy,1,0.22672694610848845,0.13978016240174948,0,0,0,0,0.0,0
8_0,8,long_2link,needle_5link,link_scaled,1,0.23162605773116685,0.14718048366196135,0,0,0,6,0.0,0
8_0,8,long_2link,needle_5link,static_home,1,0.03546068828982178,0.02671654890468867,1,1,1,0,0.040150930170262944,0
8_0,8,long_2link,needle_5link,target_ik,1,0.05306072461718279,0.036941950224941116,0,1,1,7,0.046766000000938064,0
8_0,8,long_2link,needle_5link,ejar_absolute,1,0.035445918468810865,0.026565741968753415,1,1,1,0,0.03761229162816443,0
8_0,8,long_2link,needle_5link,ejar_residual_fallback,1,0.035445918468810865,0.026565741968753415,1,1,1,0,0.03761229162816443,0
8_1,8,wide_2link,heavy_3link,raw_joint,0,0.2383352648655957,0.14679286168492825,0,0,0,3,0.0,0
8_1,8,wide_2link,heavy_3link,normalized_copy,0,0.22725264584210406,0.13358876973290873,0,0,0,0,0.0,0
8_1,8,wide_2link,heavy_3link,link_scaled,0,0.19751527213181588,0.11456548927464272,0,0,1,0,0.0,0
8_1,8,wide_2link,heavy_3link,static_home,0,0.14609364521355855,0.08209221177083356,0,0,1,0,0.13393359431570465,0
8_1,8,wide_2link,heavy_3link,target_ik,0,0.0036942889909046903,0.0023300162850816994,1,1,1,0,9.878923471967579e-06,0
8_1,8,wide_2link,heavy_3link,ejar_absolute,0,0.0003186409051161035,0.0001805484257617623,1,1,1,0,0.0030729978595927013,0
8_1,8,wide_2link,heavy_3link,ejar_residual_fallback,0,0.0003186409051161035,0.0001805484257617623,1,1,1,0,0.0030729978595927013,0
8_2,8,asym_3link,short_2link,raw_joint,0,0.05625948741709,0.04145206368014959,0,1,1,0,0.0,0
8_2,8,asym_3link,short_2link,normalized_copy,0,0.08850743489659549,0.06613279701410178,0,1,1,0,0.0,0
8_2,8,asym_3link,short_2link,link_scaled,0,0.12692174882874835,0.09576966560439748,0,0,1,8,0.0,0
8_2,8,asym_3link,short_2link,static_home,0,0.019132655673412297,0.012633751367118634,1,1,1,0,0.02071334560557657,0
8_2,8,asym_3link,short_2link,target_ik,0,0.00011944272561696568,9.137650034517688e-05,1,1,1,0,2.214089766119235e-06,0
8_2,8,asym_3link,short_2link,ejar_absolute,0,0.0005248082583930178,0.0003535249307967302,1,1,1,0,0.00042918390624653417,0
8_2,8,asym_3link,short_2link,ejar_residual_fallback,0,0.0005248082583930178,0.0003535249307967302,1,1,1,0,0.00042918390624653417,0
8_3,8,heavy_3link,soft_5link,raw_joint,0,0.5624103293561511,0.36659550920140815,0,0,0,5,0.0,0
8_3,8,heavy_3link,soft_5link,normalized_copy,0,0.5102182859268313,0.3435319266932434,0,0,0,0,0.0,0
8_3,8,heavy_3link,soft_5link,link_scaled,0,0.5135967804920404,0.34894916030074846,0,0,0,8,0.0,0
8_3,8,heavy_3link,soft_5link,static_home,0,0.2777684742393738,0.17066014658887585,0,0,0,0,0.23884803863812742,0
8_3,8,heavy_3link,soft_5link,target_ik,0,0.012459336504733146,0.0076824865808713845,1,1,1,0,8.98486823224763e-06,0
8_3,8,heavy_3link,soft_5link,ejar_absolute,0,0.01217499061497297,0.007504648843584049,1,1,1,0,0.0017294972724210087,0
8_3,8,heavy_3link,soft_5link,ejar_residual_fallback,0,0.01217499061497297,0.007504648843584049,1,1,1,0,0.0017294972724210087,0
8_4,8,teacher_2link,asym_3link,raw_joint,0,0.3217773055931252,0.18313468699045354,0,0,0,0,0.0,0
8_4,8,teacher_2link,asym_3link,normalized_copy,0,0.4033878193393085,0.23272185992829586,0,0,0,0,0.0,0
8_4,8,teacher_2link,asym_3link,link_scaled,0,0.40836111807219083,0.23578386297065992,0,0,0,0,0.0,0
8_4,8,teacher_2link,asym_3link,static_home,0,0.17185916915602714,0.10062349519113335,0,0,1,0,0.10453354005321902,0
8_4,8,teacher_2link,asym_3link,target_ik,0,0.03385672432784961,0.02994366937630978,1,1,1,4,0.035356024673054924,0
8_4,8,teacher_2link,asym_3link,ejar_absolute,0,0.032888419773776496,0.028539772235845,1,1,1,4,0.03618716727043921,0
8_4,8,teacher_2link,asym_3link,ejar_residual_fallback,0,0.032888419773776496,0.028539772235845,1,1,1,4,0.03618716727043921,0
8_5,8,short_2link,large_6link,raw_joint,0,0.09588955030319198,0.05415759890033544,0,1,1,0,0.0,0
8_5,8,short_2link,large_6link,normalized_copy,0,0.06782958560408621,0.03824868228675209,0,1,1,0,0.0,0
8_5,8,short_2link,large_6link,link_scaled,0,0.03697355104916724,0.020630541538682347,1,1,1,0,0.0,0
8_5,8,short_2link,large_6link,static_home,0,0.06119539680472963,0.03418803675932133,0,1,1,0,0.03605234919048576,0
8_5,8,short_2link,large_6link,target_ik,0,0.00019548457866791976,0.00010888099002359055,1,1,1,0,5.401624269159279e-07,0
8_5,8,short_2link,large_6link,ejar_absolute,0,0.000299072294765904,0.00016626797689514876,1,1,1,0,0.00018505046121336277,0
8_5,8,short_2link,large_6link,ejar_residual_fallback,0,0.000299072294765904,0.00016626797689514876,1,1,1,0,0.00018505046121336277,0
