family,rows,episodes,seconds
A,21000,0,27.794257599976845
B,5040,5040,132.4489629000309
C,14400,14400,104.61896120000165
D,11200,0,17.004401199985296
E,7200,0,28.917051600001287
F,12600,0,19.531394199992064
G,21000,0,25.535980199987534
H,14400,0,17.008134299947415
I,7200,0,9.831273999996483
plots,0,0,0.0
