trial,target,scale,infeasible,true_relative_residual,ejar_residual_score,static_residual_score,action_norm_score,condition_score,clipped
42,snake_6link,0.35,0,0.010227527935866636,0.00013394204166807962,0.008699241035149468,0.15815568714428682,4.669972913668806,0
43,heavy_3link,0.7,0,0.0022141439757572662,0.00011337166727510326,0.021312169146192925,0.37218162426641527,1.8778717090553179,0
44,teacher_2link,1.0,0,0.006830344678212783,0.00037261663438675036,0.023490077203061916,0.6570493877560022,5.563444032537866,0
45,long_4link,1.35,0,0.021382265906644965,0.00291288614288363,0.003047617592475298,0.39488955067111214,207.2232701909475,0
46,long_2link,1.75,0,0.09215115948302628,0.00457165892245442,0.009108228332951896,0.6925610060105588,72.6406467404037,0
47,needle_5link,2.25,1,0.41302145948429786,0.030267561897899895,0.05206299779012354,0.5494553416705523,1.7159778396833003,1
48,asym_3link,0.35,0,0.003956635083189715,0.00010629150948077429,0.03122189530321602,0.21898583820961448,4.479874678427069,0
49,large_6link,0.7,0,0.0066175597636453625,0.00023003287124626306,0.018954939490055906,0.24051005911868376,4.39567406517764,0
50,redundant_4link,1.0,0,0.0023728636045804927,0.00018372580520393573,0.06699322074176102,0.4791948576700815,2.499031709981055,0
51,short_2link,1.35,1,0.2533085160750157,0.008665928343417633,0.03175004183708465,0.6094422109385705,3.4268725251338803,1
52,soft_5link,1.75,1,0.313141828514162,0.03285665940696936,0.13593304287636002,0.5816908261840708,1.494078751932698,1
53,wide_2link,2.25,1,0.4064804458243901,0.0367933947595858,0.06173475073555635,0.9082372364687568,3.199304523516529,1
54,snake_6link,0.35,0,0.018198749942503475,0.0006813135193540045,0.0010200313904623315,0.11572566026848682,73.1178406624548,0
55,heavy_3link,0.7,0,0.007336528561855374,0.0001896335825128776,0.02742256402170536,0.32673841476175036,2.6226668825087396,0
56,teacher_2link,1.0,0,0.008864677634709123,0.00046627243468637934,0.048197889178930746,0.6916666303271058,7.238200361260007,0
57,long_4link,1.35,0,0.0032370648417722426,0.00041700441720222075,0.1010747009906764,0.6478608087258675,5.912159453548844,0
58,long_2link,1.75,1,0.3664842248938585,0.06369139863526896,0.053818012383265335,0.7577359479820129,6.9358326230533915,1
59,needle_5link,2.25,1,0.3577864952532246,0.06898323103619346,0.06782609795751558,0.44132954892982257,7.162257887474652,1
60,asym_3link,0.35,0,0.016310495187199243,0.00014230547467775328,0.011982587824230076,0.2140925388610384,3.889372434401463,0
61,large_6link,0.7,0,0.002092873202640498,0.00018865938198971228,0.0352953160158094,0.24378034369150278,9.618677516336167,0
62,redundant_4link,1.0,0,0.000680873987077824,8.626257794115143e-05,0.1976199062278309,0.4872135913819803,3.9075822760202037,0
63,short_2link,1.35,1,0.029458231957521782,0.0034706060771595975,0.00567253597730237,0.8387224447274578,331.7408126959253,1
64,soft_5link,1.75,1,0.005124759638082764,0.0004532091038851513,0.09002467444556955,0.7879814004658696,1.5245453698111944,1
65,wide_2link,2.25,1,0.5217365660632476,0.03842857955821936,0.09116026181588481,0.9131049708423259,2.1673340791994855,1
66,snake_6link,0.35,0,0.013589776556858552,0.000251486382802081,0.016913923127474653,0.1320506764567507,11.204440715170897,0
67,heavy_3link,0.7,0,0.0018111302384970608,0.00011401561667406533,0.014818387286239309,0.2668631202381909,2.8906872956448826,0
68,teacher_2link,1.0,0,0.0011773647350678128,0.00013527707844637808,0.02593137700501845,0.7104841222229195,3.60336661271294,0
69,long_4link,1.35,1,0.12873892727326905,0.0171504002980865,0.15403950530465177,0.4731080431473349,2.4454158292593062,1
70,long_2link,1.75,1,0.4142841632454679,0.0992353643067324,0.13333682997098278,0.7526975563337119,6.861366884981165,1
71,needle_5link,2.25,1,0.27219840726459543,0.038740501109780424,0.061779519370651854,0.7392274962799844,3.2641582606453596,1
72,asym_3link,0.35,1,0.9152305734559828,0.001092465683387494,0.0011212635841413975,0.03094575614928612,236.981845920264,0
73,large_6link,0.7,0,0.006405667534403054,0.0001998663064490364,0.02400753282433163,0.30067023683470423,3.455198007890753,0
74,redundant_4link,1.0,0,0.0035485736953166846,0.00024350264198444167,0.1138302306648628,0.4760666491902063,3.251336058885506,0
75,short_2link,1.35,1,0.15643982927748726,0.014707635336808593,0.08595081319168435,0.7132377097753105,9.882968756937567,1
76,soft_5link,1.75,1,0.18656022907421985,0.016262531137490804,0.0893842605376257,0.6583970069893447,1.6245820405486724,1
77,wide_2link,2.25,1,0.47160244251699096,0.09247547205979571,0.09850213061520845,0.7269668979766181,13.297350240787866,1
78,snake_6link,0.35,0,0.002610140233005323,6.315695205952492e-05,0.02976657765471404,0.14350313776034676,2.006773738516863,0
79,heavy_3link,0.7,0,0.0024600695362320306,0.00015580312297804933,0.01305654360540824,0.37494172068625675,4.276888139774444,0
80,teacher_2link,1.0,0,0.009921490612633262,0.000318710497739178,0.04630911664609716,0.6656348841962579,4.161981477828719,0
81,long_4link,1.35,0,0.01223120723121021,0.0018110771914550841,0.004913152021342425,0.5862890333954789,40.860538816677646,0
82,long_2link,1.75,1,0.37828649912166556,0.08686949166428284,0.23770874457906643,0.79220667533993,5.018627792854627,1
83,needle_5link,2.25,1,0.4265971448554615,0.04990485412091899,0.033136911050955134,0.5416100820435934,7.343728225454151,1
84,asym_3link,0.35,0,0.0012995373054602982,4.51778771569963e-05,0.030158776368878083,0.1695722234427369,4.200717246394745,0
85,large_6link,0.7,0,0.0018299611783874356,0.00010702524542892722,0.0863510767153418,0.2632552214584008,2.216729094360979,0
86,redundant_4link,1.0,0,0.0076619948738607365,0.0005311885058789465,0.016200859442876612,0.43778124761589327,8.392571095724689,0
87,short_2link,1.35,1,0.1914889347040258,0.02739600189711132,0.03196772382858504,0.8445190771955864,26.280133127179266,1
88,soft_5link,1.75,1,0.25459293186665755,0.04772584002512646,0.07873962834407436,0.6119462240511014,8.30651656034601,1
89,wide_2link,2.25,1,0.5431331632367493,0.08861810572417401,0.10770913369428384,0.4600751824985765,10.895135958444014,1
90,snake_6link,0.35,0,0.003216342159074406,0.00017983499102816293,0.00020587002202300672,0.15605794956964,151.6170388275159,0
91,heavy_3link,0.7,0,0.007443715334954441,0.00025295703092585356,0.017038849422364548,0.48767099031026434,4.159245865498294,0
92,teacher_2link,1.0,0,0.005122215487918812,0.0005918264268930537,0.07367469613995824,0.7277499585384744,14.392392708663694,0
93,long_4link,1.35,0,0.0444969531111143,0.0013981307922189936,0.024917086538480616,0.7149478445579547,15.349386853364098,0
94,long_2link,1.75,1,0.3431487909866088,0.08435297342935201,0.15143608711856268,0.8305628030335829,9.248917207548123,1
95,needle_5link,2.25,1,0.3398279009888992,0.026933887313862283,0.0622639222348049,0.6092755938114534,3.650607268673677,1
96,asym_3link,0.35,0,0.037455977023667486,0.00023038156143843433,0.005502508342753661,0.1872258047265571,7.822910344132083,0
97,large_6link,0.7,0,0.0031412512894085157,0.00012803051463748986,0.040291140198655616,0.24593633344627497,1.433581742742442,0
98,redundant_4link,1.0,0,0.0019312507913575546,0.0002444099220455296,0.06609126946243603,0.48378509998639935,8.24472952012282,0
99,short_2link,1.35,1,0.22095201936001865,0.03201840008465817,0.03220941461528659,0.8271013601100284,417.63559158353917,1
100,soft_5link,1.75,1,0.35848221688915993,0.015939081972233496,0.0444911235752543,0.4867838813874223,5.482824539732489,1
101,wide_2link,2.25,1,0.398719753419355,0.02028231455564745,0.024428327406187774,0.9700804702837792,9.862787569713495,1
