method,n,object_relative_error_mean,object_relative_error_median,object_relative_error_p90,object_relative_error_ci95,object_cosine_mean,object_cosine_median,object_cosine_p90,object_cosine_ci95,object_abs_error_mean,object_abs_error_median,object_abs_error_p90,object_abs_error_ci95,residual_mean,residual_median,residual_p90,residual_ci95,success_005_mean,clipped_mean
contact_ejar_known,3600,0.18870974955531084,0.06998986827268219,0.5945232452374442,0.007918620351446004,0.9818275365504869,0.999440288918817,0.9999912506903491,0.0023827826285606427,0.007006284848361053,0.001118128226853032,0.023015934047572316,0.00046140072256387515,0.007006284848361053,0.001118128226853032,0.023015934047572316,0.00046140072256387515,0.97,0.28
contact_ejar_wrong,3600,1.0384825461604144,0.6746182629167008,2.2037862929424823,0.033665213462654685,0.8906436603137884,0.9452779207338041,0.9991654563177393,0.006250300564188913,0.021479830830694994,0.015524058837834604,0.04576122649536073,0.0006200407581739501,0.014249200585988152,0.005277150601389048,0.042096738352799104,0.0006253811162213563,0.9186111111111112,0.5158333333333334
endpoint_ejar,3600,0.20948010254486985,0.0200615947393595,0.7084454833185585,0.009545543273467615,0.9859452035877728,0.9999867061492989,0.9999988579235091,0.002949529905235527,0.008372251930723872,0.0002784467667259608,0.029067816312102195,0.0005075907808981754,0.013112152320556247,0.0004560185910377374,0.045881416036337226,0.0007120963127675734,0.9633333333333334,0.40694444444444444
raw_joint,3600,1.6652113304414087,1.1759866205156748,3.203104289090048,0.08095773403750998,0.19119371968957866,0.5153606261150496,0.9959782332396703,0.025895449332880124,0.03313922554024488,0.023810639002155166,0.07472382177354035,0.0009880385584457585,0.0,0.0,0.0,0.0,0.7858333333333334,0.1386111111111111
