trial,target,method,singular_stress,desired_norm,actual_norm,relative_effect_error,effect_cosine,clipped,residual,token_error
0,short_2link,raw_copy,1,0.05677461395780706,0.03697963903628305,1.0935951546694629,0.17524973279366662,0,nan,
0,short_2link,ejar_absolute,1,0.05677461395780706,0.010007867468442549,0.9802390095390199,0.19913278936371934,1,0.05565269233320001,
0,short_2link,ejar_capability_token,1,0.04541851635835457,0.04535319077184789,0.03378082579177768,0.9994291566999197,0,0.001534275022603406,0.7521988795518112
1,long_2link,raw_copy,0,0.024334984182662386,0.012127266569564518,1.4827462576572026,-0.9533353953000232,0,nan,
1,long_2link,ejar_absolute,0,0.024334984182662386,0.0243207598366527,0.00422593447780266,0.9999895468359091,0,0.00010283805290022984,
1,long_2link,ejar_capability_token,0,0.06277662046914408,0.06274722124472905,0.0005489997541466188,0.9999997050721102,0,3.446434975271545e-05,0.004992042673820865
2,asymmetric_3link,raw_copy,0,0.05410194000242909,0.03339025515931208,0.7942861110422462,0.6076186472173712,0,nan,
2,asymmetric_3link,ejar_absolute,0,0.05410194000242909,0.05385413006206818,0.004599627137704018,0.9999995682446415,0,0.0002488487560372346,
2,asymmetric_3link,ejar_capability_token,0,0.03935335361395189,0.039175586442921434,0.004534440929136547,0.9999992730012904,0,0.00017844546186032804,0.004570000378748788
3,short_2link,raw_copy,0,0.06740753418070718,0.049252125888727044,1.7230122077250096,-0.9819202698368905,0,nan,
3,short_2link,ejar_absolute,0,0.06740753418070718,0.04400773458032888,0.34887438123665415,0.9990747404428907,1,0.023516762126857212,
3,short_2link,ejar_capability_token,0,0.041880873333886966,0.041799443038369535,0.019541722706393778,0.9998100113243421,0,0.0008184244329341433,0.23274690470478315
4,long_2link,raw_copy,0,0.12567662766178653,0.05471555825086246,0.5875041443317959,0.9697362343593582,0,nan,
4,long_2link,ejar_absolute,0,0.12567662766178653,0.0713084246096351,0.432604220394569,0.9999996644833457,1,0.0543682399640499,
4,long_2link,ejar_capability_token,0,0.05483992585253,0.05470491126684986,0.0024871966588176776,0.999999604103628,0,0.00013639768283741846,0.0025489035687704066
5,asymmetric_3link,raw_copy,0,0.0369276584612961,0.021572683682843815,0.7203465923348841,0.703861957798128,0,nan,
5,asymmetric_3link,ejar_absolute,0,0.0369276584612961,0.03678613041369075,0.004382840519959309,0.999996994832057,0,0.0001618480421942273,
5,asymmetric_3link,ejar_capability_token,0,0.029365436060963042,0.029209258073773805,0.005461909411561072,0.9999980566315301,0,0.00016039135705787834,0.005648228217263714
6,short_2link,raw_copy,0,0.04188890868640637,0.02959629901656875,1.0285016687553545,0.31235651398025593,0,nan,
6,short_2link,ejar_absolute,0,0.04188890868640637,0.02556389078832709,0.3897399387058637,0.9999874309738594,1,0.01632578109363548,
6,short_2link,ejar_capability_token,0,0.048979793668799114,0.04884977029164104,0.004760365958694066,0.9999917542729346,0,0.00023316174720517638,0.01152262021614824
7,long_2link,raw_copy,0,0.08929688481317351,0.05278843422743696,0.7144681761848692,0.7096268436433765,0,nan,
7,long_2link,ejar_absolute,0,0.08929688481317351,0.08286083543128367,0.07207590800913144,0.9999997737391769,1,0.006436154127372209,
7,long_2link,ejar_capability_token,0,0.049998207378399204,0.04985725608534203,0.0029635288981018863,0.9999991801467678,0,0.0001481711353827059,0.00324722904088258
8,asymmetric_3link,raw_copy,0,0.025477287048881643,0.03568145250320353,2.329790317098216,-0.8805529111512467,0,nan,
8,asymmetric_3link,ejar_absolute,0,0.025477287048881643,0.025368907776016247,0.004561566944939201,0.9999970911430177,0,0.00011621635501047305,
8,asymmetric_3link,ejar_capability_token,0,0.03036931503612562,0.030210212985255887,0.005254787043800998,0.9999988262856042,0,0.00015958428843573078,0.005275572225190503
