episode,target,method,horizon,final_tracking_error,mean_tracking_error,success_5cm_equiv,success_10cm_equiv,clipped_steps,residual_sum
29,asymmetric_3link,raw_copy,18,0.13020814805608197,0.06905098028532361,0,0,0,nan
29,asymmetric_3link,ejar_absolute,18,0.011681027191662786,0.005589365922101356,1,1,0,0.0031340904176353243
30,short_2link,raw_copy,18,0.2835161435470384,0.18903426244929253,0,0,0,nan
30,short_2link,ejar_absolute,18,0.2344205583522803,0.15062410090175357,0,0,12,0.4157686472575798
31,long_2link,raw_copy,18,0.08851776349017701,0.057364355354362045,0,1,0,nan
31,long_2link,ejar_absolute,18,0.0576083148795208,0.019239524689869943,0,1,5,0.05663082385684692
32,asymmetric_3link,raw_copy,18,0.14780884754907636,0.10196416889431496,0,0,0,nan
32,asymmetric_3link,ejar_absolute,18,0.0573799267701916,0.03707606359210985,0,1,8,0.14873398127220813
33,short_2link,raw_copy,18,0.05978547878189479,0.039414992353117705,0,1,0,nan
33,short_2link,ejar_absolute,18,0.055868586787756365,0.034538484457358486,0,1,4,0.09394553552259721
34,long_2link,raw_copy,18,0.1425403738744659,0.08598796603020559,0,0,0,nan
34,long_2link,ejar_absolute,18,0.13395228077114207,0.08101449937255725,0,0,3,0.3157318598720896
35,asymmetric_3link,raw_copy,18,0.15247487718754238,0.15850626308227211,0,0,0,nan
35,asymmetric_3link,ejar_absolute,18,0.023217828752844172,0.011567033895758291,1,1,1,0.010760503375569622
36,short_2link,raw_copy,18,0.11288019734804051,0.09982223235585881,0,0,0,nan
36,short_2link,ejar_absolute,18,0.08090191957515887,0.06857076507917757,0,1,13,0.31562701357488665
37,long_2link,raw_copy,18,0.13838743806250767,0.09054577599280922,0,0,0,nan
37,long_2link,ejar_absolute,18,0.04924175412659442,0.04781185845059944,1,1,11,0.30612534117697365
38,asymmetric_3link,raw_copy,18,0.26349574367968526,0.1961195111125108,0,0,0,nan
38,asymmetric_3link,ejar_absolute,18,0.07235675110178855,0.06261378425980711,0,1,3,0.07923602862405493
39,short_2link,raw_copy,18,0.0828460924565436,0.034969018762645535,0,1,0,nan
39,short_2link,ejar_absolute,18,0.045195013123506586,0.02630269610376672,1,1,6,0.11787589373956757
40,long_2link,raw_copy,18,0.24666794026441005,0.16108762129556145,0,0,0,nan
40,long_2link,ejar_absolute,18,0.012859308422925582,0.005796765443574204,1,1,5,0.018561846550037907
41,asymmetric_3link,raw_copy,18,0.09239008217529715,0.11351693935863626,0,1,0,nan
41,asymmetric_3link,ejar_absolute,18,0.03607157970667211,0.02186976030740158,1,1,5,0.04610555884634417
42,short_2link,raw_copy,18,0.13010346677051296,0.06257926743174824,0,0,0,nan
42,short_2link,ejar_absolute,18,0.014093579565732406,0.013841856485177401,1,1,8,0.12036884617169379
43,long_2link,raw_copy,18,0.055570781531131805,0.11328151816177368,0,1,0,nan
43,long_2link,ejar_absolute,18,0.021076964587301874,0.01144844866606047,1,1,6,0.059153669399955366
44,asymmetric_3link,raw_copy,18,0.009787253947577148,0.0524801377153323,1,1,0,nan
44,asymmetric_3link,ejar_absolute,18,0.009897968882841236,0.0053244110415967116,1,1,0,0.0027154307677062415
45,short_2link,raw_copy,18,0.17070525275816967,0.12174022861346526,0,0,0,nan
45,short_2link,ejar_absolute,18,0.07778715374902984,0.07188054486337508,0,1,12,0.4208278779118281
46,long_2link,raw_copy,18,0.06447749467233709,0.0896604083556482,0,1,0,nan
46,long_2link,ejar_absolute,18,0.06716258134069106,0.08328531466638144,0,1,5,0.17306125407294506
47,asymmetric_3link,raw_copy,18,0.05056530155388398,0.04819903759196426,0,1,0,nan
47,asymmetric_3link,ejar_absolute,18,0.01157188207426637,0.020832674843516717,1,1,8,0.13867288113661844
48,short_2link,raw_copy,18,0.3404171007842153,0.2735023379564113,0,0,0,nan
48,short_2link,ejar_absolute,18,0.037934700348737985,0.031413446859986774,1,1,10,0.14204483912786162
49,long_2link,raw_copy,18,0.03983979751487245,0.03540879194738947,1,1,0,nan
49,long_2link,ejar_absolute,18,0.027909706631293104,0.027982667374898,1,1,13,0.466022314464064
50,asymmetric_3link,raw_copy,18,0.12478690732235229,0.08655098191317757,0,0,0,nan
50,asymmetric_3link,ejar_absolute,18,0.0067905170293237425,0.004056630189515607,1,1,0,0.0022200490636541115
51,short_2link,raw_copy,18,0.14281478473570858,0.13711269755813382,0,0,0,nan
51,short_2link,ejar_absolute,18,0.13753497199771347,0.07048493144024809,0,0,7,0.4180607672923535
52,long_2link,raw_copy,18,0.7252507940144186,0.5190242307348932,0,0,0,nan
52,long_2link,ejar_absolute,18,0.23071499122739952,0.1515887581258564,0,0,10,0.4023367299755801
53,asymmetric_3link,raw_copy,18,0.31039721778968343,0.20833101764461834,0,0,0,nan
53,asymmetric_3link,ejar_absolute,18,0.16306741879277686,0.1133105978600209,0,0,10,0.33783404872447675
54,short_2link,raw_copy,18,0.27982870589743974,0.27160187424138515,0,0,0,nan
54,short_2link,ejar_absolute,18,0.034277083610604865,0.023486122075166403,1,1,6,0.11045804766955372
55,long_2link,raw_copy,18,0.09875282724753619,0.1289851599927972,0,1,0,nan
55,long_2link,ejar_absolute,18,0.006478931088199052,0.0036762013058024203,1,1,0,0.001863042954005263
56,asymmetric_3link,raw_copy,18,0.15592007687948745,0.11508965999608924,0,0,0,nan
56,asymmetric_3link,ejar_absolute,18,0.05073407219247408,0.040526745336149264,0,1,7,0.11091159696489133
57,short_2link,raw_copy,18,0.3380949028705208,0.1548551170254398,0,0,0,nan
57,short_2link,ejar_absolute,18,0.11110031083469803,0.0552002745218993,0,0,10,0.17046297913879613
58,long_2link,raw_copy,18,0.21349043951148208,0.15835423268222137,0,0,0,nan
58,long_2link,ejar_absolute,18,0.010921862915969693,0.01233315304169879,1,1,4,0.03064179247990869
59,asymmetric_3link,raw_copy,18,0.27045475915825246,0.1731379966775443,0,0,0,nan
59,asymmetric_3link,ejar_absolute,18,0.07018922027395018,0.045002036182661485,0,1,13,0.29095061945389084
60,short_2link,raw_copy,18,0.07457700736514386,0.06455004602726037,0,1,0,nan
60,short_2link,ejar_absolute,18,0.10475549366960024,0.07011121271005967,0,0,16,0.6117468063604716
61,long_2link,raw_copy,18,0.019360736986509756,0.024968756946786724,1,1,0,nan
61,long_2link,ejar_absolute,18,0.01409140931459158,0.008302323761725825,1,1,1,0.004761752946516367
62,asymmetric_3link,raw_copy,18,0.07102235030794722,0.16656324813062193,0,1,0,nan
62,asymmetric_3link,ejar_absolute,18,0.017543710040025712,0.014480477112425894,1,1,6,0.054847205934413994
63,short_2link,raw_copy,18,0.13685057781442428,0.1318266718944733,0,0,0,nan
63,short_2link,ejar_absolute,18,0.04572481955967773,0.04739122765586668,1,1,15,0.5918481167137339
64,long_2link,raw_copy,18,0.25037466427182214,0.13232761735766332,0,0,0,nan
64,long_2link,ejar_absolute,18,0.008249387589665825,0.005752478592054444,1,1,1,0.0035045783306222288
65,asymmetric_3link,raw_copy,18,0.16929642892909064,0.09089625039411046,0,0,0,nan
65,asymmetric_3link,ejar_absolute,18,0.08352671672180165,0.03647131469819008,0,1,8,0.12319791902116678
66,short_2link,raw_copy,18,0.3662708217245515,0.13681726193072571,0,0,0,nan
66,short_2link,ejar_absolute,18,0.14110424198381655,0.04858928630699492,0,0,11,0.38926199936836997
67,long_2link,raw_copy,18,0.5679029993741311,0.19592954212700267,0,0,0,nan
67,long_2link,ejar_absolute,18,0.06446457547469472,0.03603072763587223,0,1,6,0.08726497734113979
68,asymmetric_3link,raw_copy,18,0.09182505075759932,0.03615702812414683,0,1,0,nan
68,asymmetric_3link,ejar_absolute,18,0.09230509518155557,0.05393750670789732,0,1,14,0.687452922056666
69,short_2link,raw_copy,18,0.1907594065640839,0.10239635429836862,0,0,0,nan
69,short_2link,ejar_absolute,18,0.05162365547373604,0.04953575275851912,0,1,10,0.44748481120314426
70,long_2link,raw_copy,18,0.3074512582686066,0.2556370331913681,0,0,0,nan
70,long_2link,ejar_absolute,18,0.046391548935058355,0.02322018996718221,1,1,5,0.1036617209328843
71,asymmetric_3link,raw_copy,18,0.01962859415877953,0.12166251124035618,1,1,0,nan
71,asymmetric_3link,ejar_absolute,18,0.019384852765334686,0.010732154918277637,1,1,5,0.03126065496654613
72,short_2link,raw_copy,18,0.10260094530053214,0.0884314967693325,0,0,0,nan
72,short_2link,ejar_absolute,18,0.016372085748818856,0.021840433659570186,1,1,11,0.17427228453782523
73,long_2link,raw_copy,18,0.20239512583918864,0.11975485212302887,0,0,0,nan
73,long_2link,ejar_absolute,18,0.04026244774914129,0.026009505341852698,1,1,11,0.11560341388739491
74,asymmetric_3link,raw_copy,18,0.12662632766123716,0.11609211204927103,0,0,0,nan
74,asymmetric_3link,ejar_absolute,18,0.04464681324884674,0.024054295516426977,1,1,10,0.21082406828451544
75,short_2link,raw_copy,18,0.17019242479459754,0.1016618873942256,0,0,0,nan
75,short_2link,ejar_absolute,18,0.08944784715366147,0.03860143835174866,0,1,13,0.3666869624138856
76,long_2link,raw_copy,18,0.21330828175769465,0.09561025384589654,0,0,0,nan
